State,Year,Quarter,district,registeredUsers
andhra-pradesh,2018,3,krishna ,537086
andhra-pradesh,2018,3,spsr nellore ,322446
andhra-pradesh,2018,3,vizianagaram ,203655
andhra-pradesh,2018,3,ysr ,308391
andhra-pradesh,2018,3,west godavari ,349782
andhra-pradesh,2018,3,chittoor ,515727
andhra-pradesh,2018,4,east godavari ,694455
andhra-pradesh,2018,4,srikakulam ,284874
andhra-pradesh,2018,4,visakhapatnam ,978288
andhra-pradesh,2018,4,prakasam ,394962
andhra-pradesh,2018,4,anantapur ,510892
andhra-pradesh,2018,4,kurnool ,498582
andhra-pradesh,2018,4,guntur ,659552
andhra-pradesh,2018,4,krishna ,682479
andhra-pradesh,2018,4,spsr nellore ,407495
andhra-pradesh,2018,4,vizianagaram ,257824
andhra-pradesh,2018,4,ysr ,387058
andhra-pradesh,2018,4,west godavari ,435668
andhra-pradesh,2018,4,chittoor ,665280
andhra-pradesh,2019,1,east godavari ,839277
andhra-pradesh,2019,1,srikakulam ,345775
andhra-pradesh,2019,1,visakhapatnam ,1174517
andhra-pradesh,2019,1,prakasam ,474260
andhra-pradesh,2019,1,anantapur ,612162
andhra-pradesh,2019,1,kurnool ,599422
andhra-pradesh,2019,1,guntur ,802394
andhra-pradesh,2019,1,krishna ,833694
andhra-pradesh,2019,1,spsr nellore ,491908
andhra-pradesh,2019,1,vizianagaram ,313334
andhra-pradesh,2019,1,ysr ,460590
andhra-pradesh,2019,1,west godavari ,523372
andhra-pradesh,2019,1,chittoor ,812314
andhra-pradesh,2019,2,east godavari ,945181
andhra-pradesh,2019,2,srikakulam ,392764
andhra-pradesh,2019,2,visakhapatnam ,1318740
andhra-pradesh,2019,2,prakasam ,539462
andhra-pradesh,2019,2,anantapur ,695114
andhra-pradesh,2019,2,kurnool ,680118
andhra-pradesh,2019,2,guntur ,915256
andhra-pradesh,2019,2,krishna ,952300
andhra-pradesh,2019,2,spsr nellore ,558303
andhra-pradesh,2019,2,vizianagaram ,355058
andhra-pradesh,2019,2,ysr ,519031
andhra-pradesh,2019,2,west godavari ,592185
andhra-pradesh,2019,2,chittoor ,925491
andhra-pradesh,2019,3,east godavari ,1057167
andhra-pradesh,2019,3,srikakulam ,437939
andhra-pradesh,2019,3,visakhapatnam ,1460464
andhra-pradesh,2019,3,prakasam ,598568
andhra-pradesh,2019,3,anantapur ,773656
andhra-pradesh,2019,3,kurnool ,755024
andhra-pradesh,2019,3,guntur ,1026418
andhra-pradesh,2019,3,krishna ,1066546
andhra-pradesh,2019,3,spsr nellore ,619592
andhra-pradesh,2019,3,vizianagaram ,394375
andhra-pradesh,2019,3,ysr ,574109
andhra-pradesh,2019,3,west godavari ,662102
andhra-pradesh,2019,3,chittoor ,1032733
andhra-pradesh,2019,4,east godavari ,1195228
andhra-pradesh,2019,4,srikakulam ,496266
andhra-pradesh,2019,4,visakhapatnam ,1620235
andhra-pradesh,2019,4,prakasam ,673522
andhra-pradesh,2019,4,anantapur ,873033
andhra-pradesh,2019,4,kurnool ,846885
andhra-pradesh,2019,4,guntur ,1158708
andhra-pradesh,2019,4,krishna ,1199971
andhra-pradesh,2019,4,spsr nellore ,697154
andhra-pradesh,2019,4,vizianagaram ,443810
andhra-pradesh,2019,4,ysr ,646642
andhra-pradesh,2019,4,west godavari ,750078
andhra-pradesh,2019,4,chittoor ,1156351
andhra-pradesh,2020,1,east godavari ,1329664
andhra-pradesh,2020,1,srikakulam ,552007
andhra-pradesh,2020,1,visakhapatnam ,1763581
andhra-pradesh,2020,1,prakasam ,748655
andhra-pradesh,2020,1,anantapur ,971850
andhra-pradesh,2020,1,kurnool ,936293
andhra-pradesh,2020,1,guntur ,1289678
andhra-pradesh,2020,1,krishna ,1331602
andhra-pradesh,2020,1,spsr nellore ,775440
andhra-pradesh,2020,1,vizianagaram ,490683
andhra-pradesh,2020,1,ysr ,717865
andhra-pradesh,2020,1,west godavari ,843835
andhra-pradesh,2020,1,chittoor ,1270907
andhra-pradesh,2020,2,east godavari ,1459116
andhra-pradesh,2020,2,srikakulam ,608002
andhra-pradesh,2020,2,visakhapatnam ,1904719
andhra-pradesh,2020,2,prakasam ,830709
andhra-pradesh,2020,2,anantapur ,1076953
andhra-pradesh,2020,2,kurnool ,1035093
andhra-pradesh,2020,2,guntur ,1426271
andhra-pradesh,2020,2,krishna ,1459041
andhra-pradesh,2020,2,spsr nellore ,854459
andhra-pradesh,2020,2,vizianagaram ,537798
andhra-pradesh,2020,2,ysr ,796769
andhra-pradesh,2020,2,west godavari ,944829
andhra-pradesh,2020,2,chittoor ,1385916
andhra-pradesh,2020,3,east godavari ,1601940
andhra-pradesh,2020,3,srikakulam ,667858
andhra-pradesh,2020,3,visakhapatnam ,2058346
andhra-pradesh,2020,3,prakasam ,915240
andhra-pradesh,2020,3,anantapur ,1186851
andhra-pradesh,2020,3,kurnool ,1132240
andhra-pradesh,2020,3,guntur ,1567595
andhra-pradesh,2020,3,krishna ,1599289
andhra-pradesh,2020,3,spsr nellore ,937176
andhra-pradesh,2020,3,vizianagaram ,587784
andhra-pradesh,2020,3,ysr ,877909
andhra-pradesh,2020,3,west godavari ,1053674
andhra-pradesh,2020,3,chittoor ,1506503
andhra-pradesh,2020,4,east godavari ,1746280
andhra-pradesh,2020,4,srikakulam ,726761
andhra-pradesh,2020,4,visakhapatnam ,2209658
andhra-pradesh,2020,4,prakasam ,999462
andhra-pradesh,2020,4,anantapur ,1295872
andhra-pradesh,2020,4,kurnool ,1230466
andhra-pradesh,2020,4,guntur ,1712940
andhra-pradesh,2020,4,krishna ,1744028
andhra-pradesh,2020,4,spsr nellore ,1022944
andhra-pradesh,2020,4,vizianagaram ,634462
andhra-pradesh,2020,4,ysr ,959182
andhra-pradesh,2020,4,west godavari ,1163179
andhra-pradesh,2020,4,chittoor ,1631331
andhra-pradesh,2021,1,east godavari ,1878769
andhra-pradesh,2021,1,srikakulam ,782604
andhra-pradesh,2021,1,visakhapatnam ,2368081
andhra-pradesh,2021,1,prakasam ,1075936
andhra-pradesh,2021,1,anantapur ,1394849
andhra-pradesh,2021,1,kurnool ,1323411
andhra-pradesh,2021,1,guntur ,1843237
andhra-pradesh,2021,1,krishna ,1876458
andhra-pradesh,2021,1,spsr nellore ,1100541
andhra-pradesh,2021,1,vizianagaram ,681621
andhra-pradesh,2021,1,ysr ,1032689
andhra-pradesh,2021,1,west godavari ,1254117
andhra-pradesh,2021,1,chittoor ,1751420
andhra-pradesh,2021,2,east godavari ,2006272
andhra-pradesh,2021,2,srikakulam ,837958
andhra-pradesh,2021,2,visakhapatnam ,2526830
andhra-pradesh,2021,2,prakasam ,1151232
andhra-pradesh,2021,2,anantapur ,1492738
andhra-pradesh,2021,2,kurnool ,1415585
andhra-pradesh,2021,2,guntur ,1968681
andhra-pradesh,2021,2,krishna ,2002662
andhra-pradesh,2021,2,spsr nellore ,1176334
andhra-pradesh,2021,2,vizianagaram ,729509
andhra-pradesh,2021,2,ysr ,1103004
andhra-pradesh,2021,2,west godavari ,1339377
